ano,url,titulo,data,id,slug
2022,https://www.ufrn.br/imprensa/noticias/61532/programa-novos-caminhos-publica-edital-para-selecao-de-professores,Programa Novos Caminhos publica edital para seleção de professores,25/07/2022 11:15,61532,programa-novos-caminhos-publica-edital-para-selecao-de-professores
2022,https://www.ufrn.br/imprensa/noticias/61191/curso-de-gastronomia-realiza-almoco-na-eaj,Curso de Gastronomia realiza “Almoço na EAJ”,15/07/2022 11:06,61191,curso-de-gastronomia-realiza-almoco-na-eaj
2022,https://www.ufrn.br/imprensa/noticias/61062/eaj-comemora-o-dia-do-engenheiro-florestal-com-rodada-de-palestras,EAJ comemora o dia do engenheiro florestal com rodada de palestras,12/07/2022 16:47,61062,eaj-comemora-o-dia-do-engenheiro-florestal-com-rodada-de-palestras
2022,https://www.ufrn.br/imprensa/noticias/60829/eaj-divulga-resultado-preliminar-para-cursos-tecnicos-subsequentes,EAJ divulga resultado preliminar para cursos técnicos subsequentes,07/07/2022 12:37,60829,eaj-divulga-resultado-preliminar-para-cursos-tecnicos-subsequentes
2022,https://www.ufrn.br/imprensa/noticias/60726/eaj-realiza-palestra-sobre-atuacao-do-professor-e-empreendedorismo,EAJ realiza palestra sobre atuação do professor e empreendedorismo,05/07/2022 09:55,60726,eaj-realiza-palestra-sobre-atuacao-do-professor-e-empreendedorismo
2022,https://www.ufrn.br/imprensa/noticias/60724/icts-discutem-melhorias-na-infraestrutura-de-macaiba,ICTs discutem melhorias na infraestrutura de Macaíba,05/07/2022 09:52,60724,icts-discutem-melhorias-na-infraestrutura-de-macaiba
2022,https://www.ufrn.br/imprensa/noticias/60660/curso-da-eaj-promove-imersao-ao-mundo-dos-vinhos,Curso da EAJ promove imersão ao mundo dos vinhos,01/07/2022 16:19,60660,curso-da-eaj-promove-imersao-ao-mundo-dos-vinhos
2022,https://www.ufrn.br/imprensa/noticias/60533/aluna-da-eaj-recebe-premios-na-feira-brasileira-de-jovens-cientistas,Aluna da EAJ recebe prêmios na Feira Brasileira de Jovens Cientistas,29/06/2022 14:50,60533,aluna-da-eaj-recebe-premios-na-feira-brasileira-de-jovens-cientistas
2022,https://www.ufrn.br/imprensa/noticias/59745/eaj-realiza-abertura-da-i-semana-de-zootecnia,EAJ realiza abertura da I Semana de Zootecnia,07/06/2022 11:06,59745,eaj-realiza-abertura-da-i-semana-de-zootecnia
2022,https://www.ufrn.br/imprensa/noticias/59642/eaj-realiza-1-integra-agroindustria,EAJ realiza 1° Integra Agroindústria,02/06/2022 15:56,59642,eaj-realiza-1-integra-agroindustria
